ts,engine,step,file,stmt_no,statement,elapsed_ms,status,error
2026-09-08 00:20:44,trino,iceberg-tpch,10-trino-iceberg-tpch.sql,1,CREATE SCHEMA IF NOT EXISTS iceberg.tpch_tiny WITH (location = 's3://lakehouse/t,68.6,OK,
2026-09-08 00:20:47,trino,iceberg-tpch,10-trino-iceberg-tpch.sql,2,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.lineitem WITH (format = 'PARQUET') ,2587.9,OK,
2026-09-08 00:20:48,trino,iceberg-tpch,10-trino-iceberg-tpch.sql,3,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.orders WITH (format = 'PARQUET') AS,734.4,OK,
2026-09-08 00:20:48,trino,iceberg-tpch,10-trino-iceberg-tpch.sql,4,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.customer WITH (format = 'PARQUET') ,286.4,OK,
2026-09-08 00:20:48,trino,iceberg-tpch,10-trino-iceberg-tpch.sql,5,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.part WITH (format = 'PARQUET') AS S,307.9,OK,
2026-09-08 00:20:49,trino,iceberg-tpch,10-trino-iceberg-tpch.sql,6,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.partsupp WITH (format = 'PARQUET') ,283.8,OK,
2026-09-08 00:20:49,trino,iceberg-tpch,10-trino-iceberg-tpch.sql,7,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.supplier WITH (format = 'PARQUET') ,261.0,OK,
2026-09-08 00:20:49,trino,iceberg-tpch,10-trino-iceberg-tpch.sql,8,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.nation WITH (format = 'PARQUET') AS,230.1,OK,
2026-09-08 00:20:49,trino,iceberg-tpch,10-trino-iceberg-tpch.sql,9,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.region WITH (format = 'PARQUET') AS,193.3,OK,
2026-09-08 00:20:49,trino,normalize,11-trino-normalize-files.sql,1,ALTER TABLE iceberg.tpch_tiny.lineitem EXECUTE optimize,112.4,OK,
2026-09-08 00:20:49,trino,normalize,11-trino-normalize-files.sql,2,ALTER TABLE iceberg.tpch_tiny.orders EXECUTE optimize,95.3,OK,
2026-09-08 00:20:50,trino,normalize,11-trino-normalize-files.sql,3,ALTER TABLE iceberg.tpch_tiny.customer EXECUTE optimize,85.8,OK,
2026-09-08 00:20:50,trino,normalize,11-trino-normalize-files.sql,4,ALTER TABLE iceberg.tpch_tiny.part EXECUTE optimize,104.6,OK,
2026-09-08 00:20:50,trino,normalize,11-trino-normalize-files.sql,5,ALTER TABLE iceberg.tpch_tiny.partsupp EXECUTE optimize,104.8,OK,
2026-09-08 00:20:50,trino,normalize,11-trino-normalize-files.sql,6,ALTER TABLE iceberg.tpch_tiny.supplier EXECUTE optimize,90.9,OK,
2026-09-08 00:20:52,trino,dashboard-flat,12-trino-dashboard-flat.sql,1,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.lineitem_flat WITH (format = 'PARQU,2490.4,OK,
2026-09-08 00:20:53,trino,analyze,13-trino-analyze.sql,1,ANALYZE iceberg.tpch_tiny.lineitem,323.4,OK,
2026-09-08 00:20:53,trino,analyze,13-trino-analyze.sql,2,ANALYZE iceberg.tpch_tiny.orders,182.1,OK,
2026-09-08 00:20:53,trino,analyze,13-trino-analyze.sql,3,ANALYZE iceberg.tpch_tiny.customer,158.8,OK,
2026-09-08 00:20:53,trino,analyze,13-trino-analyze.sql,4,ANALYZE iceberg.tpch_tiny.part,149.7,OK,
2026-09-08 00:20:53,trino,analyze,13-trino-analyze.sql,5,ANALYZE iceberg.tpch_tiny.partsupp,183.6,OK,
2026-09-08 00:20:53,trino,analyze,13-trino-analyze.sql,6,ANALYZE iceberg.tpch_tiny.supplier,146.2,OK,
2026-09-08 00:20:54,trino,analyze,13-trino-analyze.sql,7,ANALYZE iceberg.tpch_tiny.nation,142.4,OK,
2026-09-08 00:20:54,trino,analyze,13-trino-analyze.sql,8,ANALYZE iceberg.tpch_tiny.region,133.9,OK,
2026-09-08 00:20:54,trino,analyze,13-trino-analyze.sql,9,ANALYZE iceberg.tpch_tiny.lineitem_flat,331.3,OK,
2026-09-08 00:20:54,trino,preagg,31-trino-preagg.sql,1,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.preagg_daily_revenue WITH (format =,376.3,OK,
2026-09-08 00:20:55,trino,preagg,31-trino-preagg.sql,2,CREATE TABLE IF NOT EXISTS iceberg.tpch_tiny.preagg_nation_revenue WITH (format ,562.1,OK,
2026-09-08 00:21:03,starrocks,native-ddl,21-starrocks-native-tpch.sql,1,CREATE DATABASE IF NOT EXISTS tpch_tiny,12.0,OK,
2026-09-08 00:21:03,starrocks,native-ddl,21-starrocks-native-tpch.sql,2,"CREATE TABLE IF NOT EXISTS tpch_tiny.lineitem ( l_orderkey BIGINT NOT NULL, l_pa",35.9,OK,
2026-09-08 00:21:03,starrocks,native-ddl,21-starrocks-native-tpch.sql,3,"CREATE TABLE IF NOT EXISTS tpch_tiny.orders ( o_orderkey BIGINT NOT NULL, o_cust",13.2,OK,
2026-09-08 00:21:03,starrocks,native-ddl,21-starrocks-native-tpch.sql,4,"CREATE TABLE IF NOT EXISTS tpch_tiny.customer ( c_custkey INT NOT NULL, c_name V",10.9,OK,
2026-09-08 00:21:03,starrocks,native-ddl,21-starrocks-native-tpch.sql,5,"CREATE TABLE IF NOT EXISTS tpch_tiny.part ( p_partkey INT NOT NULL, p_name VARCH",10.6,OK,
2026-09-08 00:21:03,starrocks,native-ddl,21-starrocks-native-tpch.sql,6,"CREATE TABLE IF NOT EXISTS tpch_tiny.partsupp ( ps_partkey INT NOT NULL, ps_supp",8.8,OK,
