track,table,trino_cnt,sr_cnt,trino_sum1,sr_sum1,trino_sum2,sr_sum2,trino_min,sr_min,trino_max,sr_max,verdict
A,lineitem,60175.00,60175.00,1536127.00,1536127.00,2152189760.47,2152189760.47,1992-01-04,1992-01-04,1998-11-29,1998-11-29,MATCH
A,orders,15000.00,15000.00,2127396830.02,2127396830.02,11331746.00,11331746.00,1992-01-01,1992-01-01,1998-08-02,1998-08-02,MATCH
A,customer,1500.00,1500.00,6681865.59,6681865.59,17784.00,17784.00,Customer#000000001,Customer#000000001,Customer#000001500,Customer#000001500,MATCH
A,part,2000.00,2000.00,2800992.00,2800992.00,50511.00,50511.00,Brand#11,Brand#11,Brand#55,Brand#55,MATCH
A,partsupp,8000.00,8000.00,3957437.38,3957437.38,40079419.00,40079419.00,1.00,1.00,2000.00,2000.00,MATCH
A,supplier,100.00,100.00,400930.00,400930.00,1322.00,1322.00,Supplier#000000001,Supplier#000000001,Supplier#000000100,Supplier#000000100,MATCH
A,nation,25.00,25.00,300.00,300.00,50.00,50.00,ALGERIA,ALGERIA,VIETNAM,VIETNAM,MATCH
A,region,5.00,5.00,10.00,10.00,0.00,0.00,AFRICA,AFRICA,MIDDLE EAST,MIDDLE EAST,MATCH
B,lineitem,60175.00,60175.00,1536127.00,1536127.00,2152189760.47,2152189760.47,1992-01-04,1992-01-04,1998-11-29,1998-11-29,MATCH
B,orders,15000.00,15000.00,2127396830.02,2127396830.02,11331746.00,11331746.00,1992-01-01,1992-01-01,1998-08-02,1998-08-02,MATCH
B,customer,1500.00,1500.00,6681865.59,6681865.59,17784.00,17784.00,Customer#000000001,Customer#000000001,Customer#000001500,Customer#000001500,MATCH
B,part,2000.00,2000.00,2800992.00,2800992.00,50511.00,50511.00,Brand#11,Brand#11,Brand#55,Brand#55,MATCH
B,partsupp,8000.00,8000.00,3957437.38,3957437.38,40079419.00,40079419.00,1.00,1.00,2000.00,2000.00,MATCH
B,supplier,100.00,100.00,400930.00,400930.00,1322.00,1322.00,Supplier#000000001,Supplier#000000001,Supplier#000000100,Supplier#000000100,MATCH
B,nation,25.00,25.00,300.00,300.00,50.00,50.00,ALGERIA,ALGERIA,VIETNAM,VIETNAM,MATCH
B,region,5.00,5.00,10.00,10.00,0.00,0.00,AFRICA,AFRICA,MIDDLE EAST,MIDDLE EAST,MATCH
