track,engine,cache,benchmark,query,run1_ms,run2_ms,run3_ms,median_ms,runs_ms,scan_bytes,peak_mem_mb,cpu_sec,status,error,cache_policy,ts
A,trino,warm,dashboard,d01,62.4,60.7,57.0,60.7,62.4;60.7;57.0,1780255,0.0,0.01,OK,,none,2026-09-08 00:23:14
A,trino,warm,dashboard,d02,62.6,53.3,53.1,53.3,62.6;53.3;53.1,1779469,0.0,0.01,OK,,none,2026-09-08 00:23:14
A,trino,warm,dashboard,d03,64.5,82.3,85.4,82.3,64.5;82.3;85.4,1783127,0.0,0.01,OK,,none,2026-09-08 00:23:15
A,trino,warm,dashboard,d04,62.2,56.5,54.8,56.5,62.2;56.5;54.8,1788777,0.0,0.01,OK,,none,2026-09-08 00:23:15
A,trino,warm,dashboard,d05,66.1,65.5,64.3,65.5,66.1;65.5;64.3,1780284,0.0,0.01,OK,,none,2026-09-08 00:23:15
A,trino,warm,dashboard,d06,68.1,71.3,67.7,68.1,68.1;71.3;67.7,1800688,0.0,0.02,OK,,none,2026-09-08 00:23:16
A,trino,warm,dashboard,d07,66.4,65.4,65.9,65.9,66.4;65.4;65.9,1781656,0.0,0.01,OK,,none,2026-09-08 00:23:16
A,trino,warm,dashboard,d08,63.8,72.3,70.8,70.8,63.8;72.3;70.8,1782180,0.0,0.01,OK,,none,2026-09-08 00:23:17
B,trino,warm,dashboard,d01,60.6,58.2,58.4,58.4,60.6;58.2;58.4,1780255,0.0,0.01,OK,,none,2026-09-08 00:23:17
B,trino,warm,dashboard,d02,52.2,54.3,56.8,54.3,52.2;54.3;56.8,1779469,0.0,0.01,OK,,none,2026-09-08 00:23:17
B,trino,warm,dashboard,d03,52.2,59.9,58.0,58.0,52.2;59.9;58.0,1783127,0.0,0.01,OK,,none,2026-09-08 00:23:18
B,trino,warm,dashboard,d04,55.8,73.8,73.9,73.8,55.8;73.8;73.9,1788777,0.0,0.01,OK,,none,2026-09-08 00:23:18
B,trino,warm,dashboard,d05,50.8,60.5,71.2,60.5,50.8;60.5;71.2,1780284,0.0,0.01,OK,,none,2026-09-08 00:23:18
B,trino,warm,dashboard,d06,67.7,68.5,73.8,68.5,67.7;68.5;73.8,1800688,0.0,0.02,OK,,none,2026-09-08 00:23:19
B,trino,warm,dashboard,d07,58.7,63.3,57.6,58.7,58.7;63.3;57.6,1781656,0.0,0.01,OK,,none,2026-09-08 00:23:19
B,trino,warm,dashboard,d08,74.9,67.1,69.1,69.1,74.9;67.1;69.1,1782180,0.0,0.01,OK,,none,2026-09-08 00:23:19
A,starrocks,warm,dashboard,d01,33.3,28.2,33.4,33.3,33.3;28.2;33.4,,,,OK,,SET enable_query_cache = true;SET enable_scan_datacache = true;SET enable_populate_datacache = true,2026-09-08 00:23:20
A,starrocks,warm,dashboard,d02,26.7,27.1,28.0,27.1,26.7;27.1;28.0,,,,OK,,SET enable_query_cache = true;SET enable_scan_datacache = true;SET enable_populate_datacache = true,2026-09-08 00:23:20
A,starrocks,warm,dashboard,d03,29.2,30.0,26.8,29.2,29.2;30.0;26.8,,,,OK,,SET enable_query_cache = true;SET enable_scan_datacache = true;SET enable_populate_datacache = true,2026-09-08 00:23:20
A,starrocks,warm,dashboard,d04,27.2,34.1,31.3,31.3,27.2;34.1;31.3,,,,OK,,SET enable_query_cache = true;SET enable_scan_datacache = true;SET enable_populate_datacache = true,2026-09-08 00:23:20
A,starrocks,warm,dashboard,d05,30.8,31.7,30.6,30.8,30.8;31.7;30.6,,,,OK,,SET enable_query_cache = true;SET enable_scan_datacache = true;SET enable_populate_datacache = true,2026-09-08 00:23:20
A,starrocks,warm,dashboard,d06,28.7,28.0,29.5,28.7,28.7;28.0;29.5,,,,OK,,SET enable_query_cache = true;SET enable_scan_datacache = true;SET enable_populate_datacache = true,2026-09-08 00:23:20
A,starrocks,warm,dashboard,d07,27.4,33.6,28.2,28.2,27.4;33.6;28.2,,,,OK,,SET enable_query_cache = true;SET enable_scan_datacache = true;SET enable_populate_datacache = true,2026-09-08 00:23:21
A,starrocks,warm,dashboard,d08,32.5,32.3,30.6,32.3,32.5;32.3;30.6,,,,OK,,SET enable_query_cache = true;SET enable_scan_datacache = true;SET enable_populate_datacache = true,2026-09-08 00:23:21
B,starrocks,warm,dashboard,d01,10.9,11.2,11.6,11.2,10.9;11.2;11.6,,,,OK,,SET enable_query_cache = true;SET enable_scan_datacache = true;SET enable_populate_datacache = true,2026-09-08 00:24:48
